"","M","totInt","specNo"
"493",208.81,36473.779296875,"87"
"494",208.82,21848.9125976562,"42"
"495",208.83,23147.7270507812,"42"
"496",208.87,0,"29"
"497",208.88,26143.5554199219,"29"
"498",208.89,0,"29"
"499",208.9,21183.4848632812,"62"
"500",208.91,0,"62"
"501",208.92,26156.0361328125,"166"
"502",208.93,0,"166"
"503",208.98,12727.876953125,"5"
"504",208.99,23833.1794433594,"5"
"505",209,20490.8696289062,"10"
"506",209.03,17189.103515625,"168"
"507",209.04,37213.2351074219,"168"
"508",209.05,0,"191"
"509",209.07,0,"9"
"510",209.08,45471.7583007812,"9"
"511",209.09,22424.767578125,"9"
"512",209.1,66809.8459472656,"10"
"513",209.11,0,"10"
"514",209.14,0,"135"
"515",209.15,49659.9094238281,"134"
"516",209.16,3710.82739257812,"134"
"517",209.24,17575.4580078125,"201"
"518",209.25,8038.59106445312,"201"
"519",209.28,0,"125"
"520",209.29,35285.7275390625,"110"
"521",209.3,37432.544921875,"110"
"522",209.31,0,"172"
"523",209.38,0,"97"
"524",209.39,42489.8701171875,"97"
"525",209.4,0,"51"
"526",209.41,24238.3149414062,"51"
"527",209.5,16366.6572265625,"136"
"528",209.51,23963.0390625,"117"
"529",209.52,4602.267578125,"117"
"530",209.64,0,"170"
"531",209.65,49407.7944335938,"164"
"532",209.66,0,"164"
"533",209.69,0,"51"
"534",209.7,0,"51"
"535",209.84,19247.8999023438,"9"
"536",209.85,2824.44091796875,"9"
"537",209.88,3884.17846679688,"186"
"538",209.89,18858.0224609375,"186"
"539",209.98,14394.7216796875,"127"
"540",209.99,8478.41845703125,"52"
"541",210,19985.857421875,"52"
"542",210.03,10880.5786132812,"47"
"543",210.04,16979.2504882812,"47"
"544",210.05,0,"61"
"545",210.06,30091.3891601562,"61"
"546",210.07,0,"61"
"547",210.08,7419.40380859375,"121"
"548",210.09,17680.2436523438,"121"
"549",210.1,0,"95"
"550",210.11,19613.6494140625,"95"
"551",210.12,0,"95"
"552",210.14,14256.712890625,"38"
"553",210.15,36518.3347167969,"38"
"554",210.21,0,"175"
"555",210.22,31270.0209960938,"175"
"556",210.23,0,"175"
"557",210.33,19615.67578125,"97"
"558",210.34,0,"97"
"559",210.42,10076,"36"
"560",210.43,40056.6379394531,"36"
"561",210.44,0,"126"
"562",210.45,23863.2893066406,"144"
"563",210.46,9626.994140625,"82"
"564",210.47,16505.109375,"82"
"565",210.48,0,"175"
"566",210.49,41533.2934570312,"5"
"567",210.5,34428.3488769531,"5"
"568",210.51,29588.3110351562,"185"
"569",210.55,2168.80883789062,"167"
"570",210.56,22733.3796386719,"167"
"571",210.59,0,"168"
"572",210.6,25472.8894042969,"168"
"573",210.69,7550.11547851562,"169"
"574",210.7,39461.1147460938,"77"
"575",210.71,4165.7939453125,"77"
"576",210.72,3335.52514648438,"123"
"577",210.73,22112.4638671875,"123"
"578",210.78,0,"113"
"579",210.79,19560.9521484375,"113"
"580",210.8,0,"113"
"581",210.82,17889.7092285156,"125"
"582",210.83,2096.71801757812,"125"
"583",210.86,5009.873046875,"124"
"584",210.87,59961.1252441406,"124"
"585",210.88,0,"134"
"586",210.93,10215.0810546875,"54"
"587",210.94,16933.9453125,"54"
"588",211.01,12921.841796875,"95"
